Iteration,Loop_Count,Tuple Time (ns),Variadic Expressions Time (ns),Command Interface Time (ns)
194,1000,903379900,64531400,933295800
195,10,137044400,82156400,334783100
195,100,247825500,64243600,230564300
195,1000,924238500,64650200,907438100
196,10,136888400,79740100,255328600
196,100,213477700,83833200,398201300
196,1000,899234000,64728200,910638200
197,10,153732100,65461599,162142000
197,100,236594400,80870300,227518300
197,1000,894431500,64465200,909323400
198,10,137074300,79889700,342313300
198,100,241748600,74247100,231787700
198,1000,924825200,64640500,905255300
199,10,141038000,81793700,312410400
199,100,212349500,80533100,409118700
199,1000,907680400,70730500,921950600
200,10,138310100,64005999,170453900
200,100,235184100,80990300,279029200
200,1000,911861400,65107000,904358600
