Iteration,N,Tuple Time (ns),Variadic Expressions Time (ns),Command Interface Time (ns)
150,80000,724100,935200,1464400
151,80000,817900,996900,1602300
152,80000,877100,1055300,1623400
153,80000,938600,998500,1450500
154,80000,1024500,990599,1403900
155,80000,859500,932600,1884500
156,80000,691100,1121400,1407700
157,80000,855300,1269200,1571100
158,80000,692500,936800,1426000
159,80000,716200,1070000,1357400
160,80000,704100,946700,1445300
161,80000,743200,979800,1443600
162,80000,966200,1024800,1459900
163,80000,742200,782000,1245800
164,80000,735400,989800,1546900
165,80000,710800,910800,1387900
166,80000,708900,983200,1468300
167,80000,700700,940400,1485900
168,80000,851800,969200,1538700
169,80000,1195300,935500,1544500
170,80000,720800,920100,1314300
171,80000,846100,818100,1624800
172,80000,986799,1064100,1722400
173,80000,970200,836800,2040800
174,80000,691400,916200,1467700
175,80000,776400,938900,1349400
176,80000,755400,980200,1386100
177,80000,693400,965600,1400900
178,80000,702300,965200,1406800
179,80000,723000,1043300,1493000
180,80000,709500,935400,1434700
181,80000,695800,1063100,1459500
182,80000,698800,991300,1374900
183,80000,1029699,1184600,1498700
184,80000,711300,991700,1518700
185,80000,768100,1037500,1516800
186,80000,738100,1031000,1461600
187,80000,727200,1093400,1504100
188,80000,708600,1071300,1500400
189,80000,715700,989200,1339400
190,80000,751200,1034600,1487100
191,80000,704600,1093400,1595000
192,80000,784400,1032300,1498300
193,80000,734700,1201200,1602800
194,80000,780800,1247800,1669600
195,80000,699300,794100,1286300
196,80000,699600,1075400,1552500
197,80000,705700,979300,1445200
198,80000,963600,1047100,1505600
199,80000,774600,1028400,1581600
200,80000,722700,992499,1513600
1,160000,924400,997300,1654300
2,160000,1110400,1117400,1562800
3,160000,801000,1098000,1566900
4,160000,913900,1120600,1513400
5,160000,1072700,1009900,1619400
6,160000,1123700,1008100,1589100
7,160000,864200,1039300,1448300
8,160000,802200,1037900,1445100
9,160000,874400,1147500,1510000
10,160000,813000,1214000,1544400
11,160000,851400,1131100,1563500
12,160000,805700,1078500,1823000
13,160000,841300,888600,1323300
14,160000,839500,957500,1655100
15,160000,894500,1149600,1788000
16,160000,1658500,1333600,2076600
17,160000,822500,1083300,1581500
18,160000,833200,989400,1434700
19,160000,961000,1070400,1539400
20,160000,799500,1082100,1487600
21,160000,835300,1071100,1637400
22,160000,794900,983699,1514100
23,160000,1171600,942200,1490700
24,160000,864200,1015000,1513100
25,160000,1161700,1005300,1454300
26,160000,1021300,1053000,1660100
27,160000,799100,1022399,1461600
28,160000,815600,976500,1425200
29,160000,796300,1086900,1545600
30,160000,844100,1077000,1586700
31,160000,849100,976500,1398200
32,160000,802000,1030300,1445000
33,160000,789700,971500,1609800
34,160000,872100,1242700,1868600
35,160000,1122400,1165200,1588400
36,160000,844400,1085700,1507700
37,160000,838800,883700,1657100
38,160000,796000,1009500,1570700
39,160000,796800,961600,1404700
40,160000,868600,990999,1508800
41,160000,814100,1047500,1571700
42,160000,815400,1041500,1674300
43,160000,808800,1097900,1565000
44,160000,866500,1040200,1385200
45,160000,787800,1135900,1733700
46,160000,790800,1129800,1762800
47,160000,894600,1255100,1913200
48,160000,1090600,1136900,2020900
49,160000,800000,1147000,1578900
50,160000,861600,1166200,1581100
51,160000,792000,1126800,1715300
52,160000,802000,1406100,1922200
53,160000,786900,1138300,1555200
54,160000,858200,1168800,1703600
55,160000,852100,1128400,1560700
56,160000,1033099,1099800,1631700
57,160000,856000,1134100,1676900
58,160000,885400,1135900,1474800
59,160000,819200,1075100,1635000
60,160000,844800,1133400,1600500
61,160000,806200,1066500,1565900
62,160000,827800,979499,1647400
63,160000,871200,973700,1694900
64,160000,828300,1081100,1704000
65,160000,910800,1106300,1509200
66,160000,838700,1049800,1506400
67,160000,964700,1104900,1615100
68,160000,1031400,1553200,1974200
69,160000,948800,960700,1455700
70,160000,1247400,912000,1534100
71,160000,976700,1147000,1542600
72,160000,966400,1025900,1474400
73,160000,811000,1060200,1490500
74,160000,819700,1126600,1557900
75,160000,811900,1158800,1557500
76,160000,1080000,1088700,1594700
77,160000,817700,1112100,1527700
78,160000,979700,1195900,1531500
79,160000,872300,1048300,1654000
